cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
BRCA	cis	1	rs1000083	chr5:96533469	ERAP2	chr5:96211644-96255398:+	-0.28	-4.05	5.6E-5	Cisplatin-induced ototoxicity	
BRCA	cis	1	rs10849462	chr12:6575992	TAPBPL	chr12:6561177-6575601:+	-0.17	-3.9	0.000103	Hip geometry	
BRCA	cis	1	rs10849605	chr12:1064438	RAD52	chr12:1021255-1099219:-	-0.17	-5.44	6.48E-8	Lung cancer	
BRCA	cis	1	rs10849786	chr12:121209302	SPPL3	chr12:121201036-121342151:-	0.21	4.45	9.66E-6	Quantitative traits	
BRCA	cis	1	rs1085243	chr1:46544768	CCDC163P	chr1:45960581-45965646:-	-0.4	-11.8	2.62E-30	Body mass index	
BRCA	cis	1	rs1085243	chr1:46544768	CCDC17	chr1:46085717-46089729:-	0.11	3.39	0.000714	Body mass index	
BRCA	cis	1	rs1085243	chr1:46544768	MUTYH	chr1:45794915-45806142:-	0.12	4.76	2.21E-6	Body mass index	
BRCA	cis	1	rs1085244	chr1:46563680	CCDC163P	chr1:45960581-45965646:-	-0.4	-11.72	6.14E-30	Body mass index	
BRCA	cis	1	rs1085244	chr1:46563680	MUTYH	chr1:45794915-45806142:-	0.12	4.83	1.56E-6	Body mass index	
BRCA	cis	1	rs10853751	chr19:41903220	B3GNT8	chr19:41931265-41934635:-	-0.24	-7.4	2.75E-13	Height	
BRCA	cis	1	rs10857811	chr1:110617688	ALX3	chr1:110602998-110613322:-	0.12	3.72	0.00021	Blood metabolite levels	
BRCA	cis	1	rs10857975	chr1:113321594	FAM19A3	chr1:113263189-113269854:+	-0.19	-6.04	2.16E-9	Hyperactive-impulsive symptoms	
BRCA	cis	1	rs10861346	chr12:105473245	NFYB	chr12:104510858-104532040:-	-0.2	-3.72	0.000209	IgG glycosylation	
BRCA	cis	1	rs10862368	chr12:82244514	PPFIA2	chr12:81652880-82153109:-	0.13	3.41	0.00068	Resting heart rate	
BRCA	cis	1	rs10862371	chr12:82249298	PPFIA2	chr12:81652880-82153109:-	0.13	3.38	0.000758	Resting heart rate	
BRCA	cis	1	rs10862372	chr12:82249804	PPFIA2	chr12:81652880-82153109:-	0.13	3.4	0.000705	Resting heart rate	
BRCA	cis	1	rs10864175	chr1:207433349	CR2	chr1:207627670-207663238:+	0.1	3.42	0.000639	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs10864178	chr1:207445678	CR2	chr1:207627670-207663238:+	0.1	3.44	0.000594	Spherical equivalent (joint main effects and education interaction)	
BRCA	cis	1	rs10865940	chr3:46350367	FYCO1	chr3:45959396-46037307:-	-0.11	-3.57	0.000372	Celiac disease	
BRCA	cis	1	rs10865956	chr3:49581559	AMT	chr3:49454212-49460012:-	0.13	4.54	6.31E-6	Menarche (age at onset)	
BRCA	cis	1	rs10865956	chr3:49581559	CCDC36	chr3:49235861-49295537:+	0.11	4.08	4.9E-5	Menarche (age at onset)	
BRCA	cis	1	rs10865956	chr3:49581559	GMPPB	chr3:49758932-49761384:-	-0.12	-3.53	0.000441	Menarche (age at onset)	
BRCA	cis	1	rs10865956	chr3:49581559	NCKIPSD	chr3:48711280-48723334:-	0.14	3.59	0.000344	Menarche (age at onset)	
BRCA	cis	1	rs10865956	chr3:49581559	P4HTM	chr3:49027341-49044579:+	0.1	4.13	3.91E-5	Menarche (age at onset)	
BRCA	cis	1	rs10865956	chr3:49581559	WDR6	chr3:49044637-49053386:+	-0.14	-4.11	4.25E-5	Menarche (age at onset)	
BRCA	cis	1	rs10865970	chr3:51357501	GRM2	chr3:51741081-51752623:+	-0.18	-3.44	0.000598	Melanoma	
BRCA	cis	1	rs10871290	chr16:74472696	RFWD3	chr16:74655298-74700779:-	0.1	3.97	7.52E-5	Breast cancer	
BRCA	cis	1	rs10872623	chr6:101165047	ASCC3	chr6:100956609-101329224:-	-0.08	-3.44	0.000608	Menarche (age at onset)	
BRCA	cis	1	rs10874122	chr1:75235866	CRYZ	chr1:75171175-75199092:-	-0.39	-10.51	1.13E-24	Resistin levels	
BRCA	cis	1	rs10875746	chr12:48518264	ASB8	chr12:48541575-48551377:-	0.14	4.06	5.37E-5	Longevity (90 years and older)	
BRCA	cis	1	rs10876480	chr12:54066271	ATP5G2	chr12:54058945-54070512:-	0.09	3.37	0.000769	Height	
BRCA	cis	1	rs10876481	chr12:54066743	ATP5G2	chr12:54058945-54070512:-	0.09	3.37	0.000769	Height	
BRCA	cis	1	rs10877012	chr12:58162085	B4GALNT1	chr12:58019551-58026985:-	0.13	3.85	0.000124	Multiple sclerosis	
BRCA	cis	1	rs10877012	chr12:58162085	FAM119B	chr12:58166383-58176323:+	0.41	10.06	8.45E-23	Multiple sclerosis	
BRCA	cis	1	rs10877012	chr12:58162085	TSFM	chr12:58176536-58191367:+	-0.33	-9.69	2.36E-21	Multiple sclerosis	
BRCA	cis	1	rs10877012	chr12:58162085	XRCC6BP1	chr12:58335445-58351051:+	-0.17	-4.65	3.65E-6	Multiple sclerosis	
BRCA	cis	1	rs10877013	chr12:58165085	B4GALNT1	chr12:58019551-58026985:-	0.13	3.79	0.000158	Multiple sclerosis	
BRCA	cis	1	rs10877013	chr12:58165085	FAM119B	chr12:58166383-58176323:+	0.42	10.69	2.04E-25	Multiple sclerosis	
BRCA	cis	1	rs10877013	chr12:58165085	TSFM	chr12:58176536-58191367:+	-0.32	-9.76	1.32E-21	Multiple sclerosis	
BRCA	cis	1	rs10877013	chr12:58165085	XRCC6BP1	chr12:58335445-58351051:+	-0.17	-4.77	2.06E-6	Multiple sclerosis	
BRCA	cis	1	rs10877014	chr12:58167661	B4GALNT1	chr12:58019551-58026985:-	0.13	3.85	0.000124	Multiple sclerosis	
BRCA	cis	1	rs10877014	chr12:58167661	FAM119B	chr12:58166383-58176323:+	0.42	10.8	7.25E-26	Multiple sclerosis	
BRCA	cis	1	rs10877014	chr12:58167661	TSFM	chr12:58176536-58191367:+	-0.32	-9.79	1.01E-21	Multiple sclerosis	
BRCA	cis	1	rs10877014	chr12:58167661	XRCC6BP1	chr12:58335445-58351051:+	-0.17	-4.77	2.14E-6	Multiple sclerosis	
BRCA	cis	1	rs10877015	chr12:58167788	B4GALNT1	chr12:58019551-58026985:-	0.14	3.94	8.75E-5	Multiple sclerosis	
BRCA	cis	1	rs10877015	chr12:58167788	FAM119B	chr12:58166383-58176323:+	0.41	10.16	3.39E-23	Multiple sclerosis	
BRCA	cis	1	rs10877015	chr12:58167788	TSFM	chr12:58176536-58191367:+	-0.33	-9.85	5.67E-22	Multiple sclerosis	
BRCA	cis	1	rs10877015	chr12:58167788	XRCC6BP1	chr12:58335445-58351051:+	-0.17	-4.78	2.01E-6	Multiple sclerosis	
BRCA	cis	1	rs10877019	chr12:58172929	B4GALNT1	chr12:58019551-58026985:-	-0.13	-3.65	0.000274	Multiple sclerosis	
BRCA	cis	1	rs10877019	chr12:58172929	FAM119B	chr12:58166383-58176323:+	-0.43	-10.47	1.67E-24	Multiple sclerosis	
BRCA	cis	1	rs10877019	chr12:58172929	RDH16	chr12:57345218-57396703:-	-0.14	-3.43	0.00062	Multiple sclerosis	
BRCA	cis	1	rs10877019	chr12:58172929	TSFM	chr12:58176536-58191367:+	0.35	10.22	1.93E-23	Multiple sclerosis	
BRCA	cis	1	rs10877019	chr12:58172929	XRCC6BP1	chr12:58335445-58351051:+	0.17	4.66	3.54E-6	Multiple sclerosis	
BRCA	cis	1	rs10877820	chr12:62672756	FAM19A2	chr12:62102043-62653925:-	0.17	3.68	0.000247	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs10877826	chr12:62713960	FAM19A2	chr12:62102043-62653925:-	0.18	3.8	0.00015	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs10877834	chr12:62788811	FAM19A2	chr12:62102043-62653925:-	0.17	3.66	0.000262	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs10877846	chr12:62824366	FAM19A2	chr12:62102043-62653925:-	0.17	3.6	0.000333	Pyoderma gangrenosum in inflammatory bowel disease	
BRCA	cis	1	rs10877942	chr12:63416152	PPM1H	chr12:63037763-63328915:-	-0.13	-3.43	0.000637	Obesity-related traits	
BRCA	cis	1	rs10877944	chr12:63430109	PPM1H	chr12:63037763-63328915:-	-0.14	-3.67	0.000254	Obesity-related traits	
BRCA	cis	1	rs10878346	chr12:66320873	LLPH	chr12:66516850-66563807:-	0.16	3.93	9.22E-5	Primary tooth development (time to first tooth eruption);Primary tooth development (number of teeth)	
BRCA	cis	1	rs10881608	chr10:91374649	FLJ37201	chr10:91451057-91457685:-	-0.17	-3.76	0.000178	Metabolic traits	
BRCA	cis	1	rs10881610	chr10:91374833	FLJ37201	chr10:91451057-91457685:-	-0.17	-3.76	0.000178	Metabolic traits	
BRCA	cis	1	rs10882644	chr10:97388579	ENTPD1	chr10:97471536-97637022:+	0.17	5.81	8.05E-9	Blood metabolite levels	
BRCA	cis	1	rs10883492	chr10:102206089	SEC31B	chr10:102246403-102289636:-	-0.28	-10.38	4.08E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883493	chr10:102208188	SEC31B	chr10:102246403-102289636:-	-0.28	-10.32	7.37E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883496	chr10:102221931	SEC31B	chr10:102246403-102289636:-	-0.28	-10.51	1.23E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883497	chr10:102228519	SEC31B	chr10:102246403-102289636:-	-0.28	-10.48	1.6E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883499	chr10:102232188	SEC31B	chr10:102246403-102289636:-	-0.28	-10.31	8.24E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883500	chr10:102238324	SEC31B	chr10:102246403-102289636:-	-0.28	-10.59	5.58E-25	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883501	chr10:102238326	SEC31B	chr10:102246403-102289636:-	-0.28	-10.59	5.58E-25	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883502	chr10:102238343	SEC31B	chr10:102246403-102289636:-	-0.28	-10.59	5.58E-25	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883503	chr10:102275504	SEC31B	chr10:102246403-102289636:-	-0.29	-10.55	7.8E-25	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883504	chr10:102280687	SEC31B	chr10:102246403-102289636:-	-0.29	-10.54	8.88E-25	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883505	chr10:102280772	SEC31B	chr10:102246403-102289636:-	-0.3	-11.07	4.88E-27	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883506	chr10:102289743	SEC31B	chr10:102246403-102289636:-	-0.3	-11.09	3.91E-27	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883507	chr10:102291275	SEC31B	chr10:102246403-102289636:-	-0.3	-11.09	3.91E-27	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883508	chr10:102294413	SEC31B	chr10:102246403-102289636:-	-0.3	-11.17	1.74E-27	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883509	chr10:102296461	SEC31B	chr10:102246403-102289636:-	-0.3	-11.06	5.18E-27	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883510	chr10:102297018	SEC31B	chr10:102246403-102289636:-	-0.3	-10.51	1.15E-24	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883511	chr10:102299407	SEC31B	chr10:102246403-102289636:-	-0.3	-11.08	4.27E-27	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883512	chr10:102308516	SEC31B	chr10:102246403-102289636:-	-0.29	-10.79	8.13E-26	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10883513	chr10:102316964	SEC31B	chr10:102246403-102289636:-	-0.27	-8.9	2.4E-18	Palmitoleic acid (16:1n-7) plasma levels	
BRCA	cis	1	rs10888527	chr1:153001363	SPRR1A	chr1:152956557-152958289:+	-0.16	-4.73	2.53E-6	Inflammatory skin disease	
BRCA	cis	1	rs10889636	chr1:67089924	TCTEX1D1	chr1:67218140-67244729:+	-0.12	-3.49	0.000504	Menopause (age at onset)	
BRCA	cis	1	rs10889640	chr1:67127851	TCTEX1D1	chr1:67218140-67244729:+	0.12	3.43	0.000622	Menopause (age at onset)	
BRCA	cis	1	rs10890352	chr1:46283628	CCDC163P	chr1:45960581-45965646:-	-0.41	-12.04	2.25E-31	Body mass index	
BRCA	cis	1	rs10890352	chr1:46283628	CCDC17	chr1:46085717-46089729:-	0.11	3.45	0.000576	Body mass index	
BRCA	cis	1	rs10890352	chr1:46283628	MUTYH	chr1:45794915-45806142:-	0.12	4.79	1.93E-6	Body mass index	
BRCA	cis	1	rs10890354	chr1:46305347	CCDC163P	chr1:45960581-45965646:-	-0.4	-11.81	2.33E-30	Body mass index	
BRCA	cis	1	rs10890354	chr1:46305347	CCDC17	chr1:46085717-46089729:-	0.11	3.42	0.000642	Body mass index	
BRCA	cis	1	rs10890354	chr1:46305347	MUTYH	chr1:45794915-45806142:-	0.13	4.95	8.6E-7	Body mass index	
BRCA	cis	1	rs10890361	chr1:46346234	CCDC163P	chr1:45960581-45965646:-	-0.34	-10.29	9.25E-24	Body mass index	
BRCA	cis	1	rs10890361	chr1:46346234	CCDC17	chr1:46085717-46089729:-	0.11	3.45	0.000579	Body mass index	
BRCA	cis	1	rs10890361	chr1:46346234	MUTYH	chr1:45794915-45806142:-	0.13	5.41	7.77E-8	Body mass index	
BRCA	cis	1	rs10890363	chr1:46356148	CCDC163P	chr1:45960581-45965646:-	0.4	11.94	5.93E-31	Body mass index	
BRCA	cis	1	rs10890363	chr1:46356148	MUTYH	chr1:45794915-45806142:-	-0.13	-4.99	7.03E-7	Body mass index	
BRCA	cis	1	rs10893380	chr11:125311674	DCPS	chr11:126173647-126215643:+	0.16	3.93	9.07E-5	Schizophrenia	
BRCA	cis	1	rs10893380	chr11:125311674	EI24	chr11:125439298-125454574:+	0.16	3.46	0.000556	Schizophrenia	
BRCA	cis	1	rs10893380	chr11:125311674	HYLS1	chr11:125753509-125770540:+	0.2	4.51	7.07E-6	Schizophrenia	
BRCA	cis	1	rs10893380	chr11:125311674	PUS3	chr11:125763380-125773116:-	0.15	3.41	0.000667	Schizophrenia	
BRCA	cis	1	rs10893380	chr11:125311674	SRPR	chr11:126132837-126138750:-	0.16	3.69	0.000239	Schizophrenia	
BRCA	cis	1	rs10893380	chr11:125311674	STT3A	chr11:125462739-125491280:+	0.15	3.58	0.000363	Schizophrenia	
BRCA	cis	1	rs10893380	chr11:125311674	TIRAP	chr11:126152982-126164828:+	0.18	4.22	2.68E-5	Schizophrenia	
BRCA	cis	1	rs10896043	chr11:65543827	CTSW	chr11:65647284-65651212:+	0.17	6.25	5.91E-10	Systemic lupus erythematosus	
BRCA	cis	1	rs10896043	chr11:65543827	SNX32	chr11:65601410-65621170:+	-0.2	-5.2	2.45E-7	Systemic lupus erythematosus	
BRCA	cis	1	rs10896598	chr11:57052007	PRG2	chr11:57151267-57191532:-	-0.21	-3.6	0.000335	Low high density lipoprotein cholesterol levels	
BRCA	cis	1	rs10897009	chr11:59923194	MS4A4A	chr11:60048139-60076444:+	-0.09	-3.66	0.000269	Alzheimer's disease (late onset)	
BRCA	cis	1	rs10897274	chr11:62200369	C11orf10	chr11:61556603-61560085:-	0.1	3.44	0.000599	Chronic obstructive pulmonary disease-related biomarkers	
BRCA	cis	1	rs10900685	chr5:112707306	YTHDC2	chr5:112849410-112930979:+	0.14	4.09	4.68E-5	Cerebral amyloid angiopathy	
BRCA	cis	1	rs10901513	chr10:127699936	UROS	chr10:127477148-127511837:-	-0.17	-4.92	9.87E-7	Visceral fat	
BRCA	cis	1	rs10901514	chr10:127700066	UROS	chr10:127477148-127511837:-	-0.17	-4.92	9.87E-7	Visceral fat	
BRCA	cis	1	rs10901520	chr10:127718837	UROS	chr10:127477148-127511837:-	-0.17	-4.8	1.84E-6	Visceral fat	
BRCA	cis	1	rs10902112	chr11:244106	PSMD13	chr11:236808-252984:+	-0.16	-4.58	5.13E-6	Menarche (age at onset)	
BRCA	cis	1	rs10902113	chr11:245523	PSMD13	chr11:236808-252984:+	-0.15	-4.24	2.46E-5	Menarche (age at onset)	
BRCA	cis	1	rs10902114	chr11:246234	PSMD13	chr11:236808-252984:+	-0.15	-4.18	3.15E-5	Menarche (age at onset)	
BRCA	cis	1	rs10902728	chr1:26598281	TRIM63	chr1:26377798-26394121:-	-0.15	-4.32	1.7E-5	Obesity-related traits	
BRCA	cis	1	rs10902728	chr1:26598281	ZNF593	chr1:26496388-26497362:+	0.12	5.15	3.16E-7	Obesity-related traits	
BRCA	cis	1	rs10902853	chr10:124740621	PSTK	chr10:124739556-124749906:+	0.13	3.66	0.00026	Migraine without aura	
BRCA	cis	1	rs10903	chr1:171673236	VAMP4	chr1:171669298-171711214:-	0.19	5.28	1.6E-7	Hippocampal atrophy	
BRCA	cis	1	rs10906982	chr15:84568158	GOLGA6L5	chr15:85047738-85060078:-	-0.13	-4.36	1.41E-5	Waist circumference adjusted for body mass index;Waist circumference	
BRCA	cis	1	rs10908353	chr1:37954950	SNIP1	chr1:38002145-38019903:-	-0.19	-3.78	0.000164	Hemostatic factors and hematological phenotypes	
BRCA	cis	1	rs10908494	chr1:156263097	BGLAP	chr1:156182784-156213112:+	0.21	5.56	3.35E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908494	chr1:156263097	C1orf85	chr1:156259882-156265449:-	-0.11	-3.45	0.000576	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908495	chr1:156263940	BGLAP	chr1:156182784-156213112:+	0.2	5.47	5.65E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908495	chr1:156263940	C1orf85	chr1:156259882-156265449:-	-0.11	-3.53	0.00044	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908496	chr1:156264000	BGLAP	chr1:156182784-156213112:+	0.2	5.3	1.44E-7	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908498	chr1:156278175	BGLAP	chr1:156182784-156213112:+	0.2	5.45	6.15E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908499	chr1:156279176	BGLAP	chr1:156182784-156213112:+	0.2	5.45	6.15E-8	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908500	chr1:156280671	BGLAP	chr1:156182784-156213112:+	0.19	5.05	5.11E-7	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908500	chr1:156280671	C1orf85	chr1:156259882-156265449:-	-0.11	-3.45	0.000588	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908502	chr1:156300082	BGLAP	chr1:156182784-156213112:+	0.2	5.24	1.92E-7	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10908502	chr1:156300082	CCT3	chr1:156278752-156308195:-	-0.11	-3.56	0.000391	Mean corpuscular hemoglobin concentration;Glycated hemoglobin levels	
BRCA	cis	1	rs10910092	chr1:2501516	LOC115110	chr1:2481359-2488450:-	-0.09	-3.94	8.55E-5	Ulcerative colitis	
BRCA	cis	1	rs10910092	chr1:2501516	MMEL1	chr1:2522081-2564481:-	-0.14	-4.75	2.36E-6	Ulcerative colitis	
BRCA	cis	1	rs10913489	chr1:171653384	VAMP4	chr1:171669298-171711214:-	0.12	3.4	0.00071	Hippocampal atrophy	
BRCA	cis	1	rs10913490	chr1:171653401	VAMP4	chr1:171669298-171711214:-	0.12	3.4	0.00071	Hippocampal atrophy	
BRCA	cis	1	rs10913514	chr1:171670823	VAMP4	chr1:171669298-171711214:-	0.19	5.28	1.59E-7	Hippocampal atrophy	
BRCA	cis	1	rs10913529	chr1:171679465	VAMP4	chr1:171669298-171711214:-	0.21	6.26	5.68E-10	Hippocampal atrophy	
BRCA	cis	1	rs10913565	chr1:171706706	VAMP4	chr1:171669298-171711214:-	0.19	5.47	5.76E-8	Hippocampal atrophy	
BRCA	cis	1	rs10916921	chr1:21334542	HP1BP3	chr1:21069171-21113799:-	0.12	3.6	0.000337	Superior frontal gyrus grey matter volume	
BRCA	cis	1	rs10916921	chr1:21334542	SH2D5	chr1:21046225-21059330:-	0.13	3.49	0.000505	Superior frontal gyrus grey matter volume	
BRCA	cis	1	rs10917686	chr1:161658490	FCGR2B	chr1:161632940-161647951:+	-0.15	-4.29	1.92E-5	Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	
BRCA	cis	1	rs10917688	chr1:161658780	FCGR2B	chr1:161632940-161647951:+	0.14	4.08	4.79E-5	Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	
BRCA	cis	1	rs1092015	chr14:58200725	EXOC5	chr14:57669196-57735617:-	-0.18	-3.59	0.000344	Bipolar disorder and schizophrenia	
BRCA	cis	1	rs1092015	chr14:58200725	PSMA3	chr14:58711593-58738726:+	-0.18	-3.53	0.000432	Bipolar disorder and schizophrenia	
BRCA	cis	1	rs10927875	chr1:16299312	CLCNKA	chr1:16345370-16360544:+	0.2	5.31	1.31E-7	Dilated cardiomyopathy	
BRCA	cis	1	rs10929965	chr2:160906931	LY75	chr2:160625141-160761262:-	-0.14	-4.72	2.62E-6	Idiopathic membranous nephropathy	
BRCA	cis	1	rs10929965	chr2:160906931	PLA2R1	chr2:160798012-160919121:-	-0.15	-5.14	3.31E-7	Idiopathic membranous nephropathy	
BRCA	cis	1	rs10929966	chr2:160908341	LY75	chr2:160625141-160761262:-	0.14	4.81	1.75E-6	Idiopathic membranous nephropathy	
BRCA	cis	1	rs10929966	chr2:160908341	PLA2R1	chr2:160798012-160919121:-	0.15	5.11	3.85E-7	Idiopathic membranous nephropathy	
BRCA	cis	1	rs10932031	chr2:204804494	CD28	chr2:204571198-204602556:+	0.09	3.73	0.000205	Celiac disease	
BRCA	cis	1	rs10932772	chr2:219177148	TMBIM1	chr2:219138917-219157280:-	0.17	5.02	6.09E-7	Crohn's disease;Ulcerative colitis;Inflammatory bowel disease	
BRCA	cis	1	rs10934254	chr3:113841634	GRAMD1C	chr3:113547029-113666020:+	-0.12	-3.64	0.00029	Personality dimensions	
BRCA	cis	1	rs10934255	chr3:113842444	GRAMD1C	chr3:113547029-113666020:+	-0.12	-3.65	0.000277	Personality dimensions	
BRCA	cis	1	rs10935120	chr3:134233092	ANAPC13	chr3:134196547-134204865:-	-0.4	-13.33	1.33E-37	Height	
BRCA	cis	1	rs10935120	chr3:134233092	CEP63	chr3:134204575-134293852:+	-0.16	-4.36	1.44E-5	Height	
BRCA	cis	1	rs10935186	chr3:136346206	PCCB	chr3:135969167-136056737:+	0.14	3.8	0.000156	Schizophrenia	
BRCA	cis	1	rs10937463	chr3:190985247	UTS2D	chr3:190984945-191048325:-	0.23	6.65	4.77E-11	Age-related hearing impairment (interaction)	
BRCA	cis	1	rs10937464	chr3:190985274	UTS2D	chr3:190984945-191048325:-	-0.22	-6.45	1.66E-10	Age-related hearing impairment (interaction)	
BRCA	cis	1	rs10937465	chr3:190985279	UTS2D	chr3:190984945-191048325:-	-0.22	-6.45	1.66E-10	Age-related hearing impairment (interaction)	
BRCA	cis	1	rs10938353	chr4:44582487	GUF1	chr4:44680433-44702696:+	-0.16	-3.97	7.63E-5	Body mass index	
BRCA	cis	1	rs10939740	chr4:17617490	MED28	chr4:17616273-17629791:+	0.14	3.69	0.000234	Parasitemia in Tripanosoma cruzi seropositivity	
BRCA	cis	1	rs10944161	chr6:86630376	SNHG5	chr6:86386726-86388451:-	-0.56	-17.95	3.91E-63	Response to antipsychotic treatment	
BRCA	cis	1	rs10944169	chr6:86683036	SNHG5	chr6:86386726-86388451:-	-0.58	-18.24	6.52E-65	Response to antipsychotic treatment	
BRCA	cis	1	rs10944170	chr6:86685469	SNHG5	chr6:86386726-86388451:-	-0.57	-17.82	2.27E-62	Response to antipsychotic treatment	
BRCA	cis	1	rs10945582	chr6:159381088	RSPH3	chr6:159398268-159421198:-	-0.19	-3.42	0.00064	Bladder cancer (smoking interaction)	
BRCA	cis	1	rs10946834	chr6:26533664	BTN2A3	chr6:26422317-26431927:+	0.16	5.51	4.58E-8	Educational attainment	
BRCA	cis	1	rs10946834	chr6:26533664	C6orf41	chr6:26924772-26991752:+	-0.12	-3.7	0.000227	Educational attainment	
BRCA	cis	1	rs10946834	chr6:26533664	ZNF322A	chr6:26634612-26659963:-	-0.1	-3.5	0.000489	Educational attainment	
BRCA	cis	1	rs10946835	chr6:26533757	BTN2A3	chr6:26422317-26431927:+	0.16	5.51	4.58E-8	Educational attainment	
BRCA	cis	1	rs10946835	chr6:26533757	C6orf41	chr6:26924772-26991752:+	-0.12	-3.7	0.000227	Educational attainment	
BRCA	cis	1	rs10946835	chr6:26533757	ZNF322A	chr6:26634612-26659963:-	-0.1	-3.5	0.000489	Educational attainment	
BRCA	cis	1	rs10947673	chr6:37445079	C6orf129	chr6:37450699-37467700:-	0.12	4.85	1.39E-6	Cognitive performance	
BRCA	cis	1	rs10947673	chr6:37445079	RNF8	chr6:37321748-37362513:+	0.13	3.76	0.00018	Cognitive performance	
BRCA	cis	1	rs10948974	chr6:55992520	COL21A1	chr6:55921389-56258892:-	-0.38	-6.98	5.28E-12	Psychosis (atypical)	
BRCA	cis	1	rs10948975	chr6:55992744	COL21A1	chr6:55921389-56258892:-	-0.38	-6.98	5.28E-12	Psychosis (atypical)	
BRCA	cis	1	rs10950032	chr7:65738591	CCT6P1	chr7:65216092-65228661:+	-0.31	-6.63	5.22E-11	Diabetic kidney disease	
BRCA	cis	1	rs10950032	chr7:65738591	CRCP	chr7:65579805-65619551:+	0.21	3.49	0.000501	Diabetic kidney disease	
BRCA	cis	1	rs10950032	chr7:65738591	LOC493754	chr7:65993446-66057363:-	-0.24	-4.03	5.97E-5	Diabetic kidney disease	
BRCA	cis	1	rs10951192	chr7:28161033	JAZF1	chr7:27870196-28220437:-	-0.13	-4.64	3.93E-6	Rheumatoid arthritis	
BRCA	cis	1	rs10957322	chr8:65670364	CYP7B1	chr8:65508529-65711348:-	0.12	3.83	0.000136	HIV-1 susceptibility	
BRCA	cis	1	rs10957323	chr8:65680494	CYP7B1	chr8:65508529-65711348:-	0.12	3.79	0.000158	HIV-1 susceptibility	
BRCA	cis	1	rs10957375	chr8:67355484	C8orf46	chr8:67405491-67430757:+	-0.17	-4.18	3.17E-5	Blood metabolite levels	
BRCA	cis	1	rs10966	chr20:25282944	FAM182A	chr20:26035250-26067552:+	-0.21	-5.53	3.99E-8	Liver enzyme levels (alkaline phosphatase)	
BRCA	cis	1	rs10966	chr20:25282944	FAM182B	chr20:25744102-25848786:-	0.24	6.35	3.22E-10	Liver enzyme levels (alkaline phosphatase)	
BRCA	cis	1	rs10966	chr20:25282944	PYGB	chr20:25228706-25278647:+	-0.13	-3.54	0.000419	Liver enzyme levels (alkaline phosphatase)	
BRCA	cis	1	rs10983700	chr9:100537455	CORO2A	chr9:100883258-100954956:-	-0.13	-3.67	0.000251	Thyroid cancer (Papillary, radiation-related);Thyroid cancer	
