cancer.type	eQTL.type	tagSNP	LD	SNP.ID	SNP.position.hg19	Gene.symbol	Gene.position.hg19	Beta	t-stat	P-value	GWAS-Traits	
PCPG	cis	1	rs1001530	chr5:176985515	HK3	chr5:176307871-176326333:-	-0.54	-4.29	3.16E-5	Alzheimer disease and age of onset	
PCPG	cis	1	rs1880377	chr3:134270468	ANAPC13	chr3:134196547-134204865:-	-0.36	-4.86	2.9E-6	Height	
PCPG	cis	1	rs1881245	chr2:73649928	ALMS1P	chr2:73872046-73912692:+	0.61	6.12	7.53E-9	Metabolite levels	
PCPG	cis	1	rs1885986	chr17:2203175	SRR	chr17:2207248-2228553:+	-0.58	-6.36	2.14E-9	Esophageal cancer (squamous cell)	
PCPG	cis	1	rs1886242	chr6:35117656	UHRF1BP1	chr6:34759794-34853117:+	0.32	4.6	8.87E-6	Airway responsiveness in chronic obstructive pulmonary disease	
PCPG	cis	1	rs1888997	chr20:25298988	ENTPD6	chr20:25176339-25207360:+	0.34	4.2	4.44E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1888997	chr20:25298988	FAM182A	chr20:26035250-26067552:+	0.5	5.92	2.06E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1888998	chr20:25291826	ENTPD6	chr20:25176339-25207360:+	0.34	4.14	5.64E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1888998	chr20:25291826	FAM182A	chr20:26035250-26067552:+	0.55	6.56	7.68E-10	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1888999	chr20:25291848	ENTPD6	chr20:25176339-25207360:+	-0.33	-4.03	8.64E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs1888999	chr20:25291848	FAM182A	chr20:26035250-26067552:+	-0.55	-6.71	3.44E-10	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs189218934	chr15:78903987	CHRNA5	chr15:78857906-78886458:+	-0.33	-4.35	2.49E-5	Post bronchodilator FEV1;Post bronchodilator FEV1/FVC ratio	
PCPG	cis	1	rs190414	chr5:56116772	C5orf35	chr5:56205103-56213010:+	0.98	9.32	1.15E-16	Type 2 diabetes	
PCPG	cis	1	rs1911552	chr6:86638024	SNHG5	chr6:86386726-86388451:-	-0.47	-6.15	6.52E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs1911553	chr6:86630892	SNHG5	chr6:86386726-86388451:-	-0.5	-6.31	2.85E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs1917130	chr3:134313773	ANAPC13	chr3:134196547-134204865:-	-0.36	-4.94	2.04E-6	Height	
PCPG	cis	1	rs1919948	chr7:143762843	ARHGEF35	chr7:143883677-143892736:-	-0.36	-4.19	4.64E-5	Obesity-related traits	
PCPG	cis	1	rs1919949	chr7:143767723	ARHGEF35	chr7:143883677-143892736:-	-0.35	-4.08	7.11E-5	Obesity-related traits	
PCPG	cis	1	rs1919950	chr7:143767898	ARHGEF35	chr7:143883677-143892736:-	-0.35	-4.09	6.82E-5	Obesity-related traits	
PCPG	cis	1	rs1919951	chr7:143768891	ARHGEF35	chr7:143883677-143892736:-	-0.35	-4.07	7.49E-5	Obesity-related traits	
PCPG	cis	1	rs1925148	chr6:56095672	COL21A1	chr6:55921389-56258892:-	0.75	11.9	1.48E-23	Pulse pressure	
PCPG	cis	1	rs1925152	chr6:56102709	COL21A1	chr6:55921389-56258892:-	0.7	10.35	2.13E-19	Pulse pressure	
PCPG	cis	1	rs1930961	chr22:25875265	CRYBB2	chr22:25615612-25627836:+	0.71	6.18	5.54E-9	Bipolar disorder with mood-incongruent psychosis	
PCPG	cis	1	rs1936365	chr6:28268452	ZNF187	chr6:28234788-28245978:+	0.3	4.4	1.98E-5	Depression	
PCPG	cis	1	rs1936365	chr6:28268452	ZSCAN23	chr6:28393287-28411279:-	-0.24	-4.15	5.52E-5	Depression	
PCPG	cis	1	rs1936812	chr6:127390685	THEMIS	chr6:128029346-128239742:-	0.27	4.07	7.56E-5	Iron status biomarkers	
PCPG	cis	1	rs1936813	chr6:127392421	THEMIS	chr6:128029346-128239742:-	0.27	4.07	7.56E-5	Iron status biomarkers	
PCPG	cis	1	rs1953099	chr1:111290542	ATP5F1	chr1:111991462-112004523:+	-0.34	-4.12	6.08E-5	Acute lymphoblastic leukemia (childhood)	
PCPG	cis	1	rs1953126	chr9:123640500	LOC253039	chr9:123605320-123616644:+	-0.57	-5.47	1.81E-7	Rheumatoid arthritis	
PCPG	cis	1	rs1962716	chr6:86648436	SNHG5	chr6:86386726-86388451:-	-0.55	-6.78	2.46E-10	Response to antipsychotic treatment	
PCPG	cis	1	rs1979	chr6:26377591	BTN3A2	chr6:26365398-26378546:+	-1.02	-8.28	5.59E-14	Schizophrenia	
PCPG	cis	1	rs1986074	chr15:50857452	SPPL2A	chr15:50999739-51057910:-	0.37	5.39	2.57E-7	QT interval	
PCPG	cis	1	rs1994157	chr3:41897482	ULK4	chr3:41288091-42003660:-	0.71	8.51	1.45E-14	Diastolic blood pressure	
PCPG	cis	1	rs1995688	chr6:86632319	SNHG5	chr6:86386726-86388451:-	-0.5	-6.31	2.85E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs1999852	chr6:86705738	SNHG5	chr6:86386726-86388451:-	-0.5	-6.26	3.59E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs2006751	chr11:43670501	HSD17B12	chr11:43702143-43878160:+	-0.43	-5	1.56E-6	Forced vital capacity	
PCPG	cis	1	rs2011064	chr15:50957625	SPPL2A	chr15:50999739-51057910:-	0.32	4.71	5.57E-6	QT interval	
PCPG	cis	1	rs2017962	chr19:22208751	ZNF257	chr19:22235266-22273901:+	0.5	4.88	2.67E-6	Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	
PCPG	cis	1	rs2019097	chr2:202193463	PPIL3	chr2:201735680-201753999:-	-0.61	-5.48	1.67E-7	Rheumatoid arthritis	
PCPG	cis	1	rs2023786	chr7:23915153	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs2023787	chr7:23915140	C7orf46	chr7:23719749-23742268:+	0.44	5.73	5.01E-8	Schizophrenia	
PCPG	cis	1	rs2027003	chr20:25350498	ENTPD6	chr20:25176339-25207360:+	0.33	4.03	8.64E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2027003	chr20:25350498	FAM182A	chr20:26035250-26067552:+	0.55	6.71	3.44E-10	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2027004	chr20:25350618	ENTPD6	chr20:25176339-25207360:+	0.33	4.03	8.64E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2027004	chr20:25350618	FAM182A	chr20:26035250-26067552:+	0.55	6.71	3.44E-10	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2031494	chr1:92965969	EVI5	chr1:92974255-93257961:-	-0.3	-4.13	5.87E-5	Cholesterol, total	
PCPG	cis	1	rs2036534	chr15:78826948	CHRNA5	chr15:78857906-78886458:+	0.37	4.72	5.34E-6	Post bronchodilator FEV1;Post bronchodilator FEV1/FVC ratio	
PCPG	cis	1	rs2038227	chr16:539140	CHTF18	chr16:838622-848072:+	0.25	4.12	6.25E-5	Venous thromboembolism (SNP x SNP interaction)	
PCPG	cis	1	rs2045554	chr3:48494542	TREX1	chr3:48501186-48509043:+	0.28	4.29	3.17E-5	Longevity	
PCPG	cis	1	rs2056486	chr2:73717567	ALMS1P	chr2:73872046-73912692:+	0.6	5.9	2.19E-8	Metabolite levels	
PCPG	cis	1	rs2056603	chr3:134312749	ANAPC13	chr3:134196547-134204865:-	0.36	5.08	1.06E-6	Height	
PCPG	cis	1	rs2056604	chr3:134312648	ANAPC13	chr3:134196547-134204865:-	0.35	4.93	2.07E-6	Height	
PCPG	cis	1	rs2058059	chr7:72311817	TYW1B	chr7:72023729-72298813:-	-0.75	-6.82	1.96E-10	Subcutaneous adipose tissue	
PCPG	cis	1	rs2062340	chr2:54480245	C2orf73	chr2:54558071-54588714:+	0.63	4.57	9.77E-6	Telomere length	
PCPG	cis	1	rs2069502	chr12:58144665	FAM119B	chr12:58166383-58176323:+	-0.57	-5.52	1.4E-7	Multiple sclerosis	
PCPG	cis	1	rs2069502	chr12:58144665	TSFM	chr12:58176536-58191367:+	0.58	7.3	1.42E-11	Multiple sclerosis	
PCPG	cis	1	rs2070180	chr3:121351338	IQCB1	chr3:121488610-121553926:-	-0.43	-5.2	6.39E-7	Cognitive performance	
PCPG	cis	1	rs207145	chr1:55808143	DHCR24	chr1:55315300-55352921:-	0.37	4.14	5.63E-5	Age-related cataracts (age at onset)	
PCPG	cis	1	rs2072052	chr12:58146719	FAM119B	chr12:58166383-58176323:+	0.54	5.15	7.7E-7	Multiple sclerosis	
PCPG	cis	1	rs2072052	chr12:58146719	TSFM	chr12:58176536-58191367:+	-0.6	-7.64	2.11E-12	Multiple sclerosis	
PCPG	cis	1	rs2072293	chr14:74537885	LIN52	chr14:74551656-74667117:+	0.3	5.77	4.33E-8	Common traits (Other)	
PCPG	cis	1	rs2077808	chr1:45988115	CCDC163P	chr1:45960581-45965646:-	-0.6	-9.63	1.84E-17	Homocysteine levels	
PCPG	cis	1	rs2078089	chr19:22209753	ZNF257	chr19:22235266-22273901:+	0.5	4.88	2.67E-6	Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	
PCPG	cis	1	rs2080303	chr2:202165206	ALS2CR12	chr2:202153148-202222101:-	-0.41	-4.53	1.17E-5	Basal cell carcinoma	
PCPG	cis	1	rs2106747	chr7:23911499	C7orf46	chr7:23719749-23742268:+	0.44	5.65	7.42E-8	Schizophrenia	
PCPG	cis	1	rs2106748	chr7:23911313	C7orf46	chr7:23719749-23742268:+	0.44	5.59	9.95E-8	Schizophrenia	
PCPG	cis	1	rs2113078	chr5:56087190	C5orf35	chr5:56205103-56213010:+	0.91	8.34	3.83E-14	Type 2 diabetes	
PCPG	cis	1	rs2113079	chr5:56157951	C5orf35	chr5:56205103-56213010:+	1.05	10.09	1.09E-18	Type 2 diabetes	
PCPG	cis	1	rs2115671	chr15:50956432	SPPL2A	chr15:50999739-51057910:-	0.32	4.82	3.44E-6	QT interval	
PCPG	cis	1	rs2121285	chr2:215656168	BARD1	chr2:215593275-215674428:-	0.32	4.47	1.49E-5	Neuroblastoma	
PCPG	cis	1	rs2123694	chr2:108857505	SULT1C2	chr2:108905095-108926370:+	0.57	5.67	6.8E-8	Blood pressure	
PCPG	cis	1	rs2128834	chr3:41862645	ULK4	chr3:41288091-42003660:-	0.71	10.2	5.63E-19	Diastolic blood pressure	
PCPG	cis	1	rs2128835	chr3:41862873	ULK4	chr3:41288091-42003660:-	0.8	10.9	7.1E-21	Diastolic blood pressure	
PCPG	cis	1	rs2140195	chr2:73702344	ALMS1P	chr2:73872046-73912692:+	0.58	5.75	4.6E-8	Metabolite levels	
PCPG	cis	1	rs2148709	chr6:112121228	FYN	chr6:111982487-112194627:-	-0.32	-4.16	5.31E-5	Anger	
PCPG	cis	1	rs2148710	chr6:112122226	FYN	chr6:111982487-112194627:-	-0.33	-4.32	2.81E-5	Anger	
PCPG	cis	1	rs2154536	chr21:38492147	PIGP	chr21:38437664-38445458:-	-0.38	-4.28	3.3E-5	Eye color traits	
PCPG	cis	1	rs2166663	chr6:86593896	SNHG5	chr6:86386726-86388451:-	-0.45	-5.79	3.74E-8	Response to antipsychotic treatment	
PCPG	cis	1	rs2169748	chr2:28957753	TRMT61B	chr2:29072690-29093175:-	0.46	4.27	3.35E-5	Body mass index	
PCPG	cis	1	rs2169751	chr2:28966758	TRMT61B	chr2:29072690-29093175:-	-0.5	-4.82	3.35E-6	Body mass index	
PCPG	cis	1	rs2174608	chr15:50871993	SPPL2A	chr15:50999739-51057910:-	0.35	5.23	5.52E-7	QT interval	
PCPG	cis	1	rs2175366	chr19:22128279	ZNF257	chr19:22235266-22273901:+	0.51	5.03	1.37E-6	Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	
PCPG	cis	1	rs2177601	chr3:134245434	ANAPC13	chr3:134196547-134204865:-	-0.36	-4.95	1.97E-6	Height	
PCPG	cis	1	rs2182643	chr6:112121096	FYN	chr6:111982487-112194627:-	-0.33	-4.19	4.65E-5	Anger	
PCPG	cis	1	rs2184000	chr20:25395878	ENTPD6	chr20:25176339-25207360:+	0.33	4.07	7.46E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2184000	chr20:25395878	FAM182A	chr20:26035250-26067552:+	0.51	6.21	4.83E-9	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2198463	chr2:108875093	SULT1C2	chr2:108905095-108926370:+	0.56	5.38	2.7E-7	Blood pressure	
PCPG	cis	1	rs2206734	chr6:20694884	CDKAL1	chr6:20534688-21232632:+	-0.41	-4.21	4.32E-5	Type 2 diabetes	
PCPG	cis	1	rs2227336	chr17:38174855	GSDMA	chr17:38119226-38134019:+	-0.67	-8.35	3.76E-14	Neutrophil count;White blood cell count;C-reactive protein and white blood cell count	
PCPG	cis	1	rs2236087	chr20:3255905	ITPA	chr20:3190056-3204504:+	-0.3	-4.37	2.27E-5	IFN-related cytopenia	
PCPG	cis	1	rs2236104	chr20:3277602	ITPA	chr20:3190056-3204504:+	-0.3	-4.17	5.04E-5	IFN-related cytopenia	
PCPG	cis	1	rs2236118	chr20:3302058	ITPA	chr20:3190056-3204504:+	-0.3	-4.23	3.98E-5	IFN-related cytopenia	
PCPG	cis	1	rs2236122	chr20:3305240	ITPA	chr20:3190056-3204504:+	-0.29	-4.15	5.48E-5	IFN-related cytopenia	
PCPG	cis	1	rs2236123	chr20:3305305	ITPA	chr20:3190056-3204504:+	0.29	4.13	5.97E-5	IFN-related cytopenia	
PCPG	cis	1	rs2239557	chr14:74551970	LIN52	chr14:74551656-74667117:+	0.3	5.68	6.42E-8	Common traits (Other)	
PCPG	cis	1	rs2241107	chr1:156182710	ETV3	chr1:157094459-157108383:-	0.17	4.11	6.29E-5	Testicular germ cell tumor	
PCPG	cis	1	rs2241108	chr1:156181007	ETV3	chr1:157094459-157108383:-	-0.17	-4.02	8.98E-5	Testicular germ cell tumor	
PCPG	cis	1	rs224329	chr20:34019579	CPNE1	chr20:34213968-34262539:-	-0.3	-4.2	4.52E-5	Height	
PCPG	cis	1	rs224329	chr20:34019579	UQCC	chr20:33890383-33999833:-	-0.41	-5.25	4.9E-7	Height	
PCPG	cis	1	rs224333	chr20:34023962	UQCC	chr20:33890383-33999833:-	-0.43	-5.52	1.4E-7	Height	
PCPG	cis	1	rs2245715	chr15:43818052	ADAL	chr15:43622872-43646094:+	-0.56	-5.54	1.28E-7	Tumor biomarkers	
PCPG	cis	1	rs2247139	chr12:122380274	PSMD9	chr12:122326646-122355770:+	-0.46	-4.31	2.89E-5	Urinary metabolites	
PCPG	cis	1	rs2248393	chr20:33926103	CPNE1	chr20:34213968-34262539:-	-0.31	-4.37	2.31E-5	Height	
PCPG	cis	1	rs2248393	chr20:33926103	UQCC	chr20:33890383-33999833:-	-0.4	-5.08	1.1E-6	Height	
PCPG	cis	1	rs2251844	chr15:43836478	ADAL	chr15:43622872-43646094:+	-0.61	-6.04	1.11E-8	Tumor biomarkers	
PCPG	cis	1	rs2255042	chr15:43834318	ADAL	chr15:43622872-43646094:+	0.62	6.03	1.16E-8	Tumor biomarkers	
PCPG	cis	1	rs2255051	chr15:43846161	ADAL	chr15:43622872-43646094:+	-0.61	-5.97	1.55E-8	Tumor biomarkers	
PCPG	cis	1	rs2255440	chr15:43830467	ADAL	chr15:43622872-43646094:+	-0.61	-6.04	1.11E-8	Tumor biomarkers	
PCPG	cis	1	rs2257420	chr20:25275890	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.28E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257420	chr20:25275890	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.61E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257432	chr20:25271086	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257432	chr20:25271086	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257496	chr20:25279315	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257496	chr20:25279315	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257808	chr20:25266450	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.27	3.34E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257808	chr20:25266450	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.61E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257809	chr20:25266476	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.27	3.34E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257809	chr20:25266476	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.61E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257982	chr20:25269630	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257982	chr20:25269630	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257985	chr20:25269743	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257985	chr20:25269743	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257988	chr20:25270003	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257988	chr20:25270003	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257991	chr20:25270339	ENTPD6	chr20:25176339-25207360:+	0.34	4.29	3.11E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2257991	chr20:25270339	FAM182A	chr20:26035250-26067552:+	0.48	5.82	3.23E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258066	chr20:25271326	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258066	chr20:25271326	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258135	chr20:25272323	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258135	chr20:25272323	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258201	chr20:25272490	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258201	chr20:25272490	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258563	chr20:25273435	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258563	chr20:25273435	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258617	chr20:25274318	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258617	chr20:25274318	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258719	chr20:25275843	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.14	5.64E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258719	chr20:25275843	FAM182A	chr20:26035250-26067552:+	-0.55	-6.56	7.68E-10	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258769	chr20:25276680	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258769	chr20:25276680	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258879	chr20:25279213	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258879	chr20:25279213	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258884	chr20:25279539	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2258884	chr20:25279539	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259837	chr20:25280205	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259837	chr20:25280205	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259873	chr20:25280781	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259873	chr20:25280781	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259926	chr20:25281733	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259926	chr20:25281733	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259928	chr20:25281834	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259928	chr20:25281834	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259956	chr20:25282433	ENTPD6	chr20:25176339-25207360:+	-0.34	-4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2259956	chr20:25282433	FAM182A	chr20:26035250-26067552:+	-0.48	-5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2260160	chr15:43895643	ADAL	chr15:43622872-43646094:+	-0.58	-5.63	8.46E-8	Tumor biomarkers	
PCPG	cis	1	rs2262909	chr19:22135270	ZNF257	chr19:22235266-22273901:+	0.51	4.89	2.5E-6	Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	
PCPG	cis	1	rs2272006	chr3:41997059	ULK4	chr3:41288091-42003660:-	-0.78	-11.43	2.66E-22	Diastolic blood pressure	
PCPG	cis	1	rs2272007	chr3:41996136	ULK4	chr3:41288091-42003660:-	-0.78	-11.43	2.66E-22	Diastolic blood pressure	
PCPG	cis	1	rs2272390	chr2:202195311	PPIL3	chr2:201735680-201753999:-	-0.74	-4.89	2.53E-6	Rheumatoid arthritis	
PCPG	cis	1	rs2275426	chr1:46487552	CCDC163P	chr1:45960581-45965646:-	-0.38	-5.53	1.37E-7	Body mass index	
PCPG	cis	1	rs2276547	chr2:28975107	TRMT61B	chr2:29072690-29093175:-	-0.49	-4.56	1.06E-5	Body mass index	
PCPG	cis	1	rs2277862	chr20:34152782	CPNE1	chr20:34213968-34262539:-	-0.62	-7.51	4.56E-12	Cholesterol, total	
PCPG	cis	1	rs2277869	chr12:1016910	RAD52	chr12:1021255-1099219:-	-0.45	-4.92	2.17E-6	Colorectal cancer	
PCPG	cis	1	rs2280141	chr10:124193181	PLEKHA1	chr10:124134220-124191866:+	-0.36	-5.13	8.74E-7	Height	
PCPG	cis	1	rs2287679	chr19:33600764	GPATCH1	chr19:33571786-33621318:+	0.39	5.17	7.12E-7	Bone properties (heel)	
PCPG	cis	1	rs2287680	chr19:33608566	GPATCH1	chr19:33571786-33621318:+	-0.38	-4.98	1.67E-6	Bone properties (heel)	
PCPG	cis	1	rs2291394	chr17:80403894	C17orf62	chr17:80400520-80408694:-	-0.51	-4.55	1.09E-5	Protein quantitative trait loci	
PCPG	cis	1	rs2292174	chr15:50924956	SPPL2A	chr15:50999739-51057910:-	0.33	4.75	4.64E-6	QT interval	
PCPG	cis	1	rs2292239	chr12:56482180	RPS26	chr12:56435686-56438005:+	0.64	7.03	6.14E-11	Cognitive function	
PCPG	cis	1	rs2292626	chr10:124186714	PLEKHA1	chr10:124134220-124191866:+	-0.3	-4.29	3.14E-5	Height	
PCPG	cis	1	rs2297496	chr20:25295787	ENTPD6	chr20:25176339-25207360:+	0.34	4.28	3.29E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2297496	chr20:25295787	FAM182A	chr20:26035250-26067552:+	0.48	5.97	1.6E-8	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2297497	chr20:25297909	ENTPD6	chr20:25176339-25207360:+	0.32	4.02	9.08E-5	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2297497	chr20:25297909	FAM182A	chr20:26035250-26067552:+	0.5	6.08	9.3E-9	Liver enzyme levels (alkaline phosphatase)	
PCPG	cis	1	rs2306940	chr1:113241052	ST7L	chr1:113066142-113162405:-	0.46	4.28	3.28E-5	Diastolic blood pressure;Blood pressure	
PCPG	cis	1	rs2324843	chr6:86617501	SNHG5	chr6:86386726-86388451:-	-0.51	-6.24	3.99E-9	Response to antipsychotic treatment	
PCPG	cis	1	rs2351706	chr15:90384115	AP3S2	chr15:90373832-90456222:-	-0.79	-9.39	7.55E-17	Type 2 diabetes	
PCPG	cis	1	rs2351707	chr15:90384045	AP3S2	chr15:90373832-90456222:-	-0.79	-9.5	4.06E-17	Type 2 diabetes	
PCPG	cis	1	rs2356559	chr1:45981512	CCDC163P	chr1:45960581-45965646:-	-0.58	-9.01	7.68E-16	Homocysteine levels	
PCPG	cis	1	rs2356561	chr1:45980862	CCDC163P	chr1:45960581-45965646:-	-0.55	-8.71	4.39E-15	Homocysteine levels	
PCPG	cis	1	rs2358628	chr14:74631757	LIN52	chr14:74551656-74667117:+	-0.3	-5.66	7.18E-8	Common traits (Other)	
PCPG	cis	1	rs2358633	chr14:74647418	LIN52	chr14:74551656-74667117:+	-0.3	-5.56	1.18E-7	Common traits (Other)	
PCPG	cis	1	rs2359821	chr19:22208314	ZNF257	chr19:22235266-22273901:+	0.5	4.88	2.67E-6	Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	
PCPG	cis	1	rs236121	chr20:5972594	MCM8	chr20:5931298-5975829:+	-0.31	-4.25	3.69E-5	HIV-1 viral setpoint	
